path,scope,category,size_bytes,pages_extracted,extraction_status,hits,error,text_preview
AIOS/KnowledgeBase/raw_data/pdf/fe7accf5aded__fd058a94-da8b-4ef6-a1d6-69a9d128a8ff.pdf,property_intelligence,general_aios,1546776,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/ffd0475a8d8a__86158f34-4daf-48c2-9741-7b110489f8a8.pdf,property_intelligence,general_aios,112959,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/133fe7baec74__28f5a3c7-af78-4083-9d69-0f36c25c050b.pdf,property_intelligence,general_aios,478238,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/d8f650669cba__fbb0f46b-2e1e-4232-9d16-e12dccff1d7c.pdf,property_intelligence,general_aios,2762339,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/2c36fc86726b__910c032c-6a99-4e0f-b996-9d4efbb26f5c.pdf,property_intelligence,general_aios,2763182,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/b38e9a2686ff__8c45591f-5671-4756-8068-3fc76aaa43a2.pdf,property_intelligence,general_aios,527453,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/785b726bb2f1__95e13493-29af-4817-9349-95b0d1f4af6f.pdf,property_intelligence,general_aios,20802816,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/507315fef8cc__3ffc338b-cd05-43f9-8d66-740ad18f3405.pdf,property_intelligence,general_aios,245220,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/3f606696c4fd__7945d166-9302-4b5b-954b-8235365b7019.pdf,property_intelligence,general_aios,69526,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/54bd756b3b84__672dce01-911c-46f8-8c74-82111c6b93d0.pdf,property_intelligence,general_aios,17171,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/29967450a285__1b6f8c16-6223-438c-b421-06fe6222edf7.pdf,property_intelligence,general_aios,326329,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/7b30c283fe8e__Juri Sudheimer _Emirates ID_ 2 _1_.pdf,property_intelligence,general_aios,201380,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/a728734c10ba__hsh-jaddaf-final-2pages-singlecontact.pdf,property_intelligence,general_aios,338523,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/53276bbcebf7__2022b650-674b-4c41-9970-6fa8bcfdd83b.pdf,property_intelligence,general_aios,154242,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/405ab05e5647__cf777109-a3ab-4cb3-88fc-11365fb74022.pdf,property_intelligence,general_aios,594085,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/5a49649805bf__01_Cover_Index_Response.pdf,property_intelligence,knowledge_base,6707,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/5326eeaeedd6__7beb1968-d93a-4861-911a-efd29e2267a9.pdf,property_intelligence,general_aios,320277,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/3e16711d61a2__a59ef70a-77fa-46be-9000-05bd0b77f53f.pdf,property_intelligence,general_aios,1659411,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/6a10cb3221d5__58c93d95-d09a-48cb-af1d-e5385796a445.pdf,property_intelligence,general_aios,388232,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/0637d73e96e0__120450cf-c49b-479d-8359-ab84c139ad4a.pdf,property_intelligence,general_aios,1045130,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/4292abe17a12__Register of Shareholders or Members.docx _1_ _1_.pdf,property_intelligence,general_aios,354100,0,SKIPPED_LOW_PRIORITY,,,
