area,building,unit,bedrooms,price,size,developer,source,source_date
REPORTAGE HILLS,REPORTAGE HILLS,RH-11-03,5,4295000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-12-02,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-12-03,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-12-04,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-12-05,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-12-06,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-12-07,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-12-08,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-12-09,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-12-10,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-12-11,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-12-12,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-12-13,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-12-14,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-12-15,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-12-16,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-12-18,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-12-19,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-12-20,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-12-21,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-12-24,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
