test_label,rank,resolver_record_id,area,project,building,unit,bedrooms,size,price,permit_number,property_number,plot_number,land_number,source_file,source_sheet,row_number,source_platform,listing_url,score,score_breakdown,confidence,status_label,owner_contact_available,input,parsed_platform,parsed_listing_id,parsed_area,parsed_project,parsed_building,parsed_bedrooms,parsed_size,parsed_price
text_only_1,8,7f9f69f79ea5c7e8,Palm Jumeirah,,jebel ali frond n,,,,,,,,,WhatsApp ChatStorage.sqlite,,,propertyfinder.ae,https://www.propertyfinder.ae/en/plp/buy/villa-for-sale-dubai-palm-jebel-ali-palm-jebel-ali-frond-n-15274939.html,20,"[""same_area:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,Palm Jumeirah bed,,,Palm Jumeirah,,,,,
text_only_1,9,7f9f69f79ea5c7e8,Palm Jumeirah,,jebel ali frond,,,,,,,,,WhatsApp ChatStorage.sqlite,,,propertyfinder.ae,https://www.propertyfinder.ae/en/plp/buy/villa-for-sale-dubai-palm-jebel-ali-palm-jebel-ali-frond-m-15712074.html,20,"[""same_area:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,Palm Jumeirah bed,,,Palm Jumeirah,,,,,
text_only_1,10,7f9f69f79ea5c7e8,Palm Jumeirah,,jebel ali frond c,,,,,,,,,WhatsApp ChatStorage.sqlite,,,propertyfinder.ae,https://www.propertyfinder.ae/en/plp/buy/villa-for-sale-dubai-palm-jebel-ali-palm-jebel-ali-frond-c-15446066.html,20,"[""same_area:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,Palm Jumeirah bed,,,Palm Jumeirah,,,,,
text_only_1,11,7f9f69f79ea5c7e8,Palm Jumeirah,,ali palm jebel ali,,,,,,,,,WhatsApp ChatStorage.sqlite,,,propertyfinder.ae,https://www.propertyfinder.ae/en/plp/buy/villa-for-sale-dubai-palm-jebel-ali-15564325.html,20,"[""same_area:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,Palm Jumeirah bed,,,Palm Jumeirah,,,,,
text_only_1,12,7f9f69f79ea5c7e8,Palm Jumeirah,,jebel ali frond b,,,,,,,,,WhatsApp ChatStorage.sqlite,,,propertyfinder.ae,https://www.propertyfinder.ae/en/plp/buy/villa-for-sale-dubai-palm-jebel-ali-palm-jebel-ali-frond-b-15235687.html,20,"[""same_area:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,Palm Jumeirah bed,,,Palm Jumeirah,,,,,
text_only_1,13,7abc7d28b5e0bfca,Palm Jumeirah,,,,,,,,,6757,,Nakheel_Approval_QA_Report.pdf,,,,,20,"[""same_area:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,Palm Jumeirah bed,,,Palm Jumeirah,,,,,
text_only_1,14,66d5c217ddafe191,Palm Jumeirah,,,,,,,27459,6757/,6757,,Palm_Jumeirah_Nakheel_updated.pdf,,,,,20,"[""same_area:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,Palm Jumeirah bed,,,Palm Jumeirah,,,,,
text_only_1,15,3dde5185e114ff49,Palm Jumeirah,,,,,,,,,,120,6f1e3efe-637f-455e-9cc5-0d642d2242f3.xlsx,,,,,20,"[""same_area:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,Palm Jumeirah bed,,,Palm Jumeirah,,,,,
text_only_1,16,145ce6abb6bc2908,Palm Jumeirah,,,,,,,27459,6757/,6757,,cpalmd (1).pdf,,,,,20,"[""same_area:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,Palm Jumeirah bed,,,Palm Jumeirah,,,,,
text_only_2,1,efb3074ea7de7826,MBR City,,,,,,,27459,PJ P VP 018,PJ P VP 018,,rev01_text.txt,,,,,20,"[""same_area:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,MBR City bed,,,MBR City,,,,,
text_only_2,2,c97817e31802c0cc,MBR City,,,,,,,27459,PJ P VP 018,PJ P VP 018,,extracted_text.txt,,,,,20,"[""same_area:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,MBR City bed,,,MBR City,,,,,
