source_type,source_name,row_ref,platforms,url_count,listing_ids,unit_count,identifier_types,broker_ref_count,exact_bridge,unit_bridge,identifier_bridge,broker_unit_bridge,source_path,snippet
resolver_database,unit_resolver_database.sqlite,7f9f69f79ea5c7e8,property_finder,1,PLJyKnis,0,,0,NO,NO,NO,NO,/Users/hassanka/Downloads/AIOS/KnowledgeBase/resolver/unit_resolver_database.sqlite,resolver_record_id: 7f9f69f79ea5c7e8 source_platform: propertyfinder.ae listing_url: https://www.propertyfinder.ae/leads/v1/lead/message/JBoYD1wYEfGZGgIkur2pUQ/PLJyKnis property_finder_url: https://www.propertyfinder.ae/leads/v1/lead/message/JBoYD1wYEfGZGgIkur2pUQ/PLJyKnis listing_id: PLJyKnis listing_platform: propertyfinder.ae slug_title_tokens: 
resolver_database,unit_resolver_database.sqlite,7f9f69f79ea5c7e8,property_finder,1,cnxZ3Oq3,0,,0,NO,NO,NO,NO,/Users/hassanka/Downloads/AIOS/KnowledgeBase/resolver/unit_resolver_database.sqlite,resolver_record_id: 7f9f69f79ea5c7e8 source_platform: propertyfinder.ae listing_url: https://www.propertyfinder.ae/leads/v1/lead/message/uvp2x1wWEfGZGgIkur2pUQ/cnxZ3Oq3 property_finder_url: https://www.propertyfinder.ae/leads/v1/lead/message/uvp2x1wWEfGZGgIkur2pUQ/cnxZ3Oq3 listing_id: cnxZ3Oq3 listing_platform: propertyfinder.ae slug_title_tokens: 
resolver_database,unit_resolver_database.sqlite,7f9f69f79ea5c7e8,property_finder,1,QET3ZXC09BEVH6F1EQPKQHSAH4,0,,0,NO,NO,NO,NO,/Users/hassanka/Downloads/AIOS/KnowledgeBase/resolver/unit_resolver_database.sqlite,resolver_record_id: 7f9f69f79ea5c7e8 source_platform: propertyfinder.ae listing_url: https://propertyfinder.ae/go/QET3ZXC09BEVH6F1EQPKQHSAH4 property_finder_url: https://propertyfinder.ae/go/QET3ZXC09BEVH6F1EQPKQHSAH4 listing_id: QET3ZXC09BEVH6F1EQPKQHSAH4 listing_platform: propertyfinder.ae slug_title_tokens: qet3zxc09bevh6f1eqpkqhsah4 project_bui
resolver_database,unit_resolver_database.sqlite,7f9f69f79ea5c7e8,property_finder,1,XKQP75WJX46Y89V2MA8Q511V7W,0,,0,NO,NO,NO,NO,/Users/hassanka/Downloads/AIOS/KnowledgeBase/resolver/unit_resolver_database.sqlite,resolver_record_id: 7f9f69f79ea5c7e8 source_platform: propertyfinder.ae listing_url: https://propertyfinder.ae/go/XKQP75WJX46Y89V2MA8Q511V7W property_finder_url: https://propertyfinder.ae/go/XKQP75WJX46Y89V2MA8Q511V7W listing_id: XKQP75WJX46Y89V2MA8Q511V7W listing_platform: propertyfinder.ae slug_title_tokens: xkqp75wjx46y89v2ma8q511v7w project_bui
resolver_database,unit_resolver_database.sqlite,7f9f69f79ea5c7e8,property_finder,1,xVZYkI8P,0,,0,NO,NO,NO,NO,/Users/hassanka/Downloads/AIOS/KnowledgeBase/resolver/unit_resolver_database.sqlite,resolver_record_id: 7f9f69f79ea5c7e8 source_platform: propertyfinder.ae listing_url: https://www.propertyfinder.ae/leads/v1/lead/message/lWVy31wXEfGZGgIkur2pUQ/xVZYkI8P property_finder_url: https://www.propertyfinder.ae/leads/v1/lead/message/lWVy31wXEfGZGgIkur2pUQ/xVZYkI8P listing_id: xVZYkI8P listing_platform: propertyfinder.ae slug_title_tokens: 
resolver_database,unit_resolver_database.sqlite,7f9f69f79ea5c7e8,property_finder,1,podium-villas,0,,0,NO,NO,NO,NO,/Users/hassanka/Downloads/AIOS/KnowledgeBase/resolver/unit_resolver_database.sqlite,resolver_record_id: 7f9f69f79ea5c7e8 source_platform: propertyfinder.ae listing_url: https://www.propertyfinder.ae/en/new-projects/pdp/nakheel/podium-villas. property_finder_url: https://www.propertyfinder.ae/en/new-projects/pdp/nakheel/podium-villas. listing_id: podium-villas listing_platform: propertyfinder.ae slug_title_tokens: new projects pdp 
resolver_database,unit_resolver_database.sqlite,7f9f69f79ea5c7e8,property_finder,1,16137246,0,,0,NO,NO,NO,NO,/Users/hassanka/Downloads/AIOS/KnowledgeBase/resolver/unit_resolver_database.sqlite,resolver_record_id: 7f9f69f79ea5c7e8 source_platform: propertyfinder.ae listing_url: https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-dubai-al-barsha-al-barsha-1-atria-square-16137246.html# property_finder_url: https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-dubai-al-barsha-al-barsha-1-atria-squa
resolver_database,unit_resolver_database.sqlite,7f9f69f79ea5c7e8,property_finder,1,raw-district,0,,0,NO,NO,NO,NO,/Users/hassanka/Downloads/AIOS/KnowledgeBase/resolver/unit_resolver_database.sqlite,resolver_record_id: 7f9f69f79ea5c7e8 source_platform: propertyfinder.ae listing_url: https://www.propertyfinder.ae/en/new-projects/imtiaz-developments/raw-district. property_finder_url: https://www.propertyfinder.ae/en/new-projects/imtiaz-developments/raw-district. listing_id: raw-district listing_platform: propertyfinder.ae slug_title_tokens: new 
resolver_database,unit_resolver_database.sqlite,7f9f69f79ea5c7e8,property_finder,1,0E5H9EYAV0FPK9MEP2J3JVE6Y0,0,,0,NO,NO,NO,NO,/Users/hassanka/Downloads/AIOS/KnowledgeBase/resolver/unit_resolver_database.sqlite,resolver_record_id: 7f9f69f79ea5c7e8 source_platform: propertyfinder.ae listing_url: https://propertyfinder.ae/go/0E5H9EYAV0FPK9MEP2J3JVE6Y0 property_finder_url: https://propertyfinder.ae/go/0E5H9EYAV0FPK9MEP2J3JVE6Y0 listing_id: 0E5H9EYAV0FPK9MEP2J3JVE6Y0 listing_platform: propertyfinder.ae slug_title_tokens: 0e5h9eyav0fpk9mep2j3jve6y0 project_bui
resolver_database,unit_resolver_database.sqlite,7f9f69f79ea5c7e8,property_finder,1,dubai-period-1w-fu-0-cs-completed-ob-mr,0,,0,NO,NO,NO,NO,/Users/hassanka/Downloads/AIOS/KnowledgeBase/resolver/unit_resolver_database.sqlite,resolver_record_id: 7f9f69f79ea5c7e8 source_platform: propertyfinder.ae listing_url: https://www.propertyfinder.ae/en/transactions/buy/dubai?period=1w&fu=0&cs=completed&ob=mr property_finder_url: https://www.propertyfinder.ae/en/transactions/buy/dubai?period=1w&fu=0&cs=completed&ob=mr listing_id: dubai-period-1w-fu-0-cs-completed-ob-mr listing_plat
